Name	ID	NumProbes	NumGenes	ROC	Pval	CorrectedPvalue	Same as	GeneMembers
regulation of macrophage differentiation	GO:0045649	18	18	0.55683283	0.20191183	1		
BLOC complex	GO:0031082	12	12	0.56952456	0.20215017	1		
clathrin-sculpted vesicle	GO:0060198	11	11	0.57255064	0.20235471	1		
vesicle targeting, to, from or within Golgi	GO:0048199	24	24	0.5491179	0.20244322	1		
regulation of telomere maintenance	GO:0032204	10	10	0.57593346	0.20283665	1		
protein ADP-ribosylation	GO:0006471	16	16	0.56001746	0.20293108	1		
high-density lipoprotein particle	GO:0034364	21	21	0.55236649	0.20306104	1		
parasympathetic nervous system development	GO:0048486	11	11	0.57230778	0.20314202	1		
mitotic G2/M transition checkpoint	GO:0044818	10	10	0.57553883	0.20405897	1		
negative regulation of adaptive immune response	GO:0002820	23	23	0.54967585	0.20477772	1		
negative regulation of mitotic cell cycle phase transition	GO:1901991	122	122	0.52160264	0.20511608	1		
histone H3 acetylation	GO:0043966	32	32	0.54206183	0.20513614	1		
negative regulation of G2/M transition of mitotic cell cycle	GO:0010972	12	12	0.56857834	0.20536335	1	GO:1902750|negative regulation of cell cycle G2/M phase transition, 	
negative regulation of cell cycle G2/M phase transition	GO:1902750	12	12	0.56857834	0.20536335	1	GO:0010972|negative regulation of G2/M transition of mitotic cell cycle, 	
myosin II complex	GO:0016460	24	24	0.54848747	0.20547147	1		
protein acetyltransferase complex	GO:0031248	59	59	0.5309047	0.20586981	1	GO:1902493|acetyltransferase complex, 	
acetyltransferase complex	GO:1902493	59	59	0.5309047	0.20586981	1	GO:0031248|protein acetyltransferase complex, 	
regulation of keratinocyte differentiation	GO:0045616	21	21	0.55145808	0.20715676	1		
positive regulation of antigen receptor-mediated signaling pathway	GO:0050857	10	10	0.57452492	0.20721943	1		
leukocyte proliferation	GO:0070661	62	62	0.52997265	0.20725169	1		
embryonic skeletal joint morphogenesis	GO:0060272	13	13	0.56535285	0.20727577	1		
negative regulation of cell cycle	GO:0045786	345	345	0.51278975	0.20775066	1		
cellular protein catabolic process	GO:0044257	347	346	0.51272796	0.20854923	1		
mRNA cleavage factor complex	GO:0005849	13	13	0.5649418	0.20874652	1		
positive regulation of apoptotic signaling pathway	GO:2001235	136	136	0.52012421	0.20908468	1		
positive regulation of macrophage derived foam cell differentiation	GO:0010744	13	13	0.56483904	0.20911516	1		
chromatin remodeling at centromere	GO:0031055	16	16	0.5583966	0.2093296	1		
pericentriolar material	GO:0000242	11	11	0.57039245	0.20941487	1		
negative regulation of kidney development	GO:0090185	14	14	0.56223703	0.21003007	1		
heme biosynthetic process	GO:0006783	18	18	0.55487221	0.21011761	1		
mitotic nuclear division	GO:0007067	251	251	0.5147889	0.21029116	1		
viral entry into host cell	GO:0046718	12	12	0.56713624	0.21031837	1		
regulation of cell killing	GO:0031341	42	42	0.53574543	0.21143984	1		
BAF-type complex	GO:0090544	14	14	0.56176639	0.21178367	1		
purine ribonucleoside bisphosphate metabolic process	GO:0034035	16	16	0.55762602	0.21241269	1	GO:0050427|3'-phosphoadenosine 5'-phosphosulfate metabolic process, 	
3'-phosphoadenosine 5'-phosphosulfate metabolic process	GO:0050427	16	16	0.55762602	0.21241269	1	GO:0034035|purine ribonucleoside bisphosphate metabolic process, 	
regulation of immunoglobulin secretion	GO:0051023	11	11	0.56943754	0.21258436	1		
regulation of cytokine production	GO:0001817	388	387	0.51183727	0.21269011	1		
protein N-linked glycosylation via asparagine	GO:0018279	82	82	0.52544771	0.21294304	1		
fibril	GO:0043205	12	12	0.56606351	0.21404933	1		
posttranscriptional regulation of gene expression	GO:0010608	232	232	0.51512135	0.21412265	1		
regulation of interleukin-8 biosynthetic process	GO:0045414	10	10	0.57227855	0.21432392	1		
virion assembly	GO:0019068	10	10	0.57220569	0.21455669	1		
actin filament capping	GO:0051693	23	23	0.54759942	0.21470401	1		
outflow tract septum morphogenesis	GO:0003148	10	10	0.5720782	0.21496438	1		
embryonic forelimb morphogenesis	GO:0035115	29	29	0.54229441	0.21526836	1		
vesicle coat	GO:0030120	35	35	0.53849829	0.21531384	1		
regulation of inflammatory response to antigenic stimulus	GO:0002861	18	18	0.5536523	0.21532791	1		
protoporphyrinogen IX metabolic process	GO:0046501	10	10	0.57185963	0.21566432	1		
regulation of protein deacetylation	GO:0090311	17	17	0.5551149	0.21570876	1		
regulation of lipoprotein lipase activity	GO:0051004	13	13	0.56296594	0.21590145	1		
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:0002460	99	99	0.52284905	0.21618163	1		
reciprocal meiotic recombination	GO:0007131	33	32	0.54004043	0.2165661	1	GO:0035825|reciprocal DNA recombination, 	
reciprocal DNA recombination	GO:0035825	33	32	0.54004043	0.2165661	1	GO:0007131|reciprocal meiotic recombination, 	
mitotic DNA damage checkpoint	GO:0044773	76	76	0.52599175	0.21678475	1		
positive regulation of leukocyte differentiation	GO:1902107	92	92	0.52359284	0.21719762	1		
negative regulation of cytokine production	GO:0001818	149	149	0.51857103	0.21719847	1		
inorganic anion transmembrane transport	GO:0098661	52	52	0.53121181	0.21815754	1		
lipid digestion	GO:0044241	11	11	0.56774852	0.21825861	1		
glycerol ether metabolic process	GO:0006662	17	17	0.55435924	0.21887251	1		
negative regulation of cell cycle phase transition	GO:1901988	126	126	0.52002421	0.21898249	1		
RNA polymerase II transcription factor complex	GO:0090575	48	48	0.53234092	0.21916172	1		
regulation of immunoglobulin production	GO:0002637	32	32	0.53953888	0.21945813	1		
cellular response to epidermal growth factor stimulus	GO:0071364	11	11	0.56735111	0.2196063	1		
androgen metabolic process	GO:0008209	28	28	0.54218401	0.219884	1		
negative regulation of translational initiation	GO:0045947	14	14	0.55944356	0.22061259	1		
IMP biosynthetic process	GO:0006188	10	10	0.5702386	0.22089664	1		
positive regulation of cytokine biosynthetic process	GO:0042108	50	50	0.53142961	0.22104368	1		
chromosome localization	GO:0050000	20	20	0.54935605	0.22239387	1	GO:0051303|establishment of chromosome localization, 	
establishment of chromosome localization	GO:0051303	20	20	0.54935605	0.22239387	1	GO:0050000|chromosome localization, 	
extracellular regulation of signal transduction	GO:1900115	12	12	0.56360688	0.22272818	1	GO:1900116|extracellular negative regulation of signal transduction, 	
extracellular negative regulation of signal transduction	GO:1900116	12	12	0.56360688	0.22272818	1	GO:1900115|extracellular regulation of signal transduction, 	
positive regulation of interleukin-2 production	GO:0032743	21	21	0.54767257	0.22473579	1		
post-Golgi vesicle-mediated transport	GO:0006892	70	70	0.52611837	0.22501948	1		
monosaccharide catabolic process	GO:0046365	24	24	0.54398078	0.22789041	1		
regulation of cell cycle checkpoint	GO:1901976	18	18	0.55070967	0.22818204	1		
ubiquitin ligase complex	GO:0000151	141	141	0.51817582	0.22831264	1		
negative regulation of leukocyte mediated immunity	GO:0002704	23	23	0.54476216	0.22870958	1		
cellular metabolic compound salvage	GO:0043094	34	34	0.53679913	0.22888727	1		
anterior/posterior axis specification	GO:0009948	37	37	0.5352589	0.22900992	1		
negative regulation of interleukin-1 beta production	GO:0032691	10	10	0.56768866	0.22927254	1		
condensed chromosome, centromeric region	GO:0000779	69	69	0.52579767	0.22942266	1		
RNA phosphodiester bond hydrolysis, endonucleolytic	GO:0090502	20	20	0.54768544	0.23017554	1		
negative regulation of bone mineralization	GO:0030502	15	15	0.55481194	0.23116297	1		
regulation of T cell differentiation	GO:0045580	78	78	0.52404032	0.23155741	1		
proton-transporting ATP synthase complex	GO:0045259	18	18	0.5499234	0.23168833	1		
DNA strand elongation involved in DNA replication	GO:0006271	27	27	0.54069707	0.23210723	1	GO:0022616|DNA strand elongation, 	
DNA strand elongation	GO:0022616	27	27	0.54069707	0.23210723	1	GO:0006271|DNA strand elongation involved in DNA replication, 	
T cell differentiation in thymus	GO:0033077	45	45	0.5315074	0.23234103	1	GO:0071594|thymocyte aggregation, 	
thymocyte aggregation	GO:0071594	45	45	0.5315074	0.23234103	1	GO:0033077|T cell differentiation in thymus, 	
insemination	GO:0007320	13	13	0.55846303	0.23272784	1		
cardiac muscle tissue growth	GO:0055017	17	17	0.55110973	0.23281913	1		
ribonucleoprotein complex subunit organization	GO:0071826	100	99	0.52118425	0.23332297	1		
immune response	GO:0006955	953	949	0.50702028	0.23353479	1		
ubiquitin-dependent protein catabolic process	GO:0006511	307	306	0.51210948	0.23363174	1		
detection of stimulus	GO:0051606	249	249	0.51338127	0.23395414	1		
embryonic limb morphogenesis	GO:0030326	109	109	0.52012947	0.2340498	1	GO:0035113|embryonic appendage morphogenesis, 	
embryonic appendage morphogenesis	GO:0035113	109	109	0.52012947	0.2340498	1	GO:0030326|embryonic limb morphogenesis, 	
vesicle targeting, rough ER to cis-Golgi	GO:0048207	14	14	0.55594305	0.23429509	1	GO:0090114|COPII-coated vesicle budding, GO:0048208|COPII vesicle coating, 	
COPII vesicle coating	GO:0048208	14	14	0.55594305	0.23429509	1	GO:0090114|COPII-coated vesicle budding, GO:0048207|vesicle targeting, rough ER to cis-Golgi, 	
COPII-coated vesicle budding	GO:0090114	14	14	0.55594305	0.23429509	1	GO:0048208|COPII vesicle coating, GO:0048207|vesicle targeting, rough ER to cis-Golgi, 	
regulation of nuclear division	GO:0051783	116	116	0.51940959	0.23527406	1		
regulation of viral transcription	GO:0046782	61	60	0.52692081	0.23544761	1		
embryonic skeletal joint development	GO:0072498	16	16	0.55193592	0.23598604	1		
regulation of smooth muscle cell apoptotic process	GO:0034391	13	13	0.55746343	0.23655963	1		
positive regulation of receptor-mediated endocytosis	GO:0048260	34	33	0.53601064	0.23703791	1		
inflammatory response to antigenic stimulus	GO:0002437	18	18	0.54867143	0.23733276	1		
regulation of leukocyte differentiation	GO:1902105	167	167	0.51601009	0.23790592	1		
C-terminal protein lipidation	GO:0006501	19	19	0.54724117	0.23795593	1		
condensed nuclear chromosome	GO:0000794	58	58	0.52704575	0.23815878	1		
regulation of JAK-STAT cascade	GO:0046425	63	63	0.52593988	0.23827699	1		
regulation of defense response	GO:0031347	419	419	0.51016296	0.23841717	1		
positive regulation of meiotic cell cycle	GO:0051446	12	12	0.55924262	0.23865647	1		
negative regulation of alcohol biosynthetic process	GO:1902931	12	12	0.55884288	0.24014507	1		
embryonic digit morphogenesis	GO:0042733	46	46	0.53006177	0.24031677	1		
peptidyl-asparagine modification	GO:0018196	83	83	0.52235212	0.24083434	1		
regulation of lymphocyte apoptotic process	GO:0070228	42	42	0.53127145	0.24161219	1		
positive regulation of multicellular organism growth	GO:0040018	28	28	0.53807382	0.24281053	1		
autophagosome assembly	GO:0000045	22	21	0.54390441	0.24305923	1		
maintenance of gastrointestinal epithelium	GO:0030277	10	10	0.5633902	0.24378683	1		
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	GO:0051436	68	68	0.52424638	0.24473126	1		
negative regulation of protein tyrosine kinase activity	GO:0061099	13	13	0.55515592	0.24553607	1		
negative regulation of DNA replication	GO:0008156	37	37	0.53247549	0.24714174	1		
positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	GO:0051437	59	59	0.52556925	0.24853277	1		
regulation of lymphocyte differentiation	GO:0045619	100	100	0.51951651	0.25015654	1		
chromatin modification	GO:0016568	336	336	0.51071733	0.25030133	1		
regulation of bone remodeling	GO:0046850	31	31	0.53492401	0.25048808	1		
neuron death	GO:0070997	38	38	0.53148196	0.25095902	1		
glycosyl compound catabolic process	GO:1901658	38	38	0.53142435	0.25135048	1		
vesicle lumen	GO:0031983	69	68	0.52351122	0.25135867	1	GO:0060205|cytoplasmic membrane-bounded vesicle lumen, 	
cytoplasmic membrane-bounded vesicle lumen	GO:0060205	69	68	0.52351122	0.25135867	1	GO:0031983|vesicle lumen, 	
positive regulation of epithelial to mesenchymal transition	GO:0010718	24	24	0.53930572	0.25252805	1		
anion homeostasis	GO:0055081	31	31	0.53451711	0.25299477	1		
protein-chromophore linkage	GO:0018298	11	11	0.5578683	0.25314868	1		
skin development	GO:0043588	173	173	0.51464581	0.25341634	1		
clathrin vesicle coat	GO:0030125	16	16	0.54791224	0.25348951	1		
icosanoid transport	GO:0071715	13	13	0.55304927	0.2538883	1	GO:1901571|fatty acid derivative transport, 	
fatty acid derivative transport	GO:1901571	13	13	0.55304927	0.2538883	1	GO:0071715|icosanoid transport, 	
microtubule polymerization	GO:0046785	19	19	0.54367954	0.2549009	1		
negative regulation of reactive oxygen species biosynthetic process	GO:1903427	11	11	0.55725286	0.25540485	1		
regulation of cytokinesis	GO:0032465	33	33	0.53307209	0.25544675	1		
positive regulation of tissue remodeling	GO:0034105	20	20	0.54242452	0.25564866	1		
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	GO:1902042	17	16	0.54736942	0.25590198	1		
negative regulation of osteoclast differentiation	GO:0045671	16	16	0.54725175	0.25642653	1		
purine nucleobase metabolic process	GO:0006144	34	34	0.53233559	0.25705445	1		
demethylation	GO:0070988	34	34	0.53230877	0.257229	1		
Sin3 complex	GO:0016580	12	12	0.55432935	0.25729898	1	GO:0070822|Sin3-type complex, 	
Sin3-type complex	GO:0070822	12	12	0.55432935	0.25729898	1	GO:0016580|Sin3 complex, 	
regulation of leukocyte mediated cytotoxicity	GO:0001910	37	37	0.5309256	0.25755837	1		
vacuolar lumen	GO:0005775	70	70	0.52246925	0.25790536	1		
negative regulation by host of viral transcription	GO:0043922	10	10	0.55913424	0.25863256	1		
coated pit	GO:0005905	54	54	0.5254786	0.25865538	1		
external side of plasma membrane	GO:0009897	187	187	0.5137428	0.2587238	1		
positive regulation of cell cycle process	GO:0090068	174	174	0.51420217	0.25929619	1		
negative regulation of steroid biosynthetic process	GO:0010894	16	16	0.54659505	0.25936416	1		
dolichol-linked oligosaccharide biosynthetic process	GO:0006488	30	30	0.53399185	0.25967643	1		
anaphase-promoting complex	GO:0005680	18	18	0.54378168	0.26008426	1		
DNA damage checkpoint	GO:0000077	111	111	0.51766525	0.26026555	1		
euchromatin	GO:0000791	15	15	0.54784809	0.26055418	1		
multi-organism reproductive process	GO:0044703	643	640	0.50746372	0.26068253	1		
G1 DNA damage checkpoint	GO:0044783	60	60	0.52390435	0.26101058	1		
DNA demethylation	GO:0080111	12	12	0.55332746	0.26119126	1		
phosphatidylethanolamine acyl-chain remodeling	GO:0036152	19	19	0.54236871	0.26129269	1		
organ formation	GO:0048645	23	23	0.53846154	0.26157228	1		
cell fate commitment	GO:0045165	199	197	0.51318444	0.26200433	1		
heart valve morphogenesis	GO:0003179	22	22	0.53922281	0.26210385	1		
positive regulation of lymphocyte differentiation	GO:0045621	59	59	0.52392822	0.2625419	1		
activation of JUN kinase activity	GO:0007257	30	30	0.53350759	0.26266085	1		
condensed chromosome kinetochore	GO:0000777	67	67	0.52241261	0.26297682	1		
cellular response to starvation	GO:0009267	73	71	0.52175589	0.26315632	1		
regulation of leukocyte degranulation	GO:0043300	22	22	0.53892593	0.26368364	1	GO:1903305|regulation of regulated secretory pathway, 	
regulation of regulated secretory pathway	GO:1903305	22	22	0.53892593	0.26368364	1	GO:0043300|regulation of leukocyte degranulation, 	
regulation of interleukin-17 production	GO:0032660	16	16	0.54555876	0.26403495	1		
regulation of inflammatory response	GO:0050727	204	204	0.51279157	0.26469058	1		
negative regulation of interleukin-1 production	GO:0032692	12	12	0.55211812	0.2659295	1		
mating	GO:0007618	32	32	0.53185034	0.26647422	1		
bile acid and bile salt transport	GO:0015721	15	15	0.54644925	0.26667293	1		
sperm part	GO:0097223	80	80	0.52013216	0.26689288	1		
nucleic acid phosphodiester bond hydrolysis	GO:0090305	119	119	0.51652168	0.26695155	1		
integral component of mitochondrial outer membrane	GO:0031307	14	13	0.54980288	0.26704539	1		
fat cell differentiation	GO:0045444	71	71	0.52133275	0.26719425	1		
regulation of thymocyte apoptotic process	GO:0070243	14	14	0.54782292	0.26776923	1		
Cul4-RING E3 ubiquitin ligase complex	GO:0080008	12	12	0.55164248	0.26780493	1		
negative regulation of interleukin-2 production	GO:0032703	13	13	0.54941518	0.26863938	1		
NADP metabolic process	GO:0006739	20	20	0.53967863	0.26950623	1		
copulation	GO:0007620	17	17	0.54298148	0.26975207	1		
cartilage morphogenesis	GO:0060536	10	10	0.55593467	0.27009386	1		
positive regulation of DNA-templated transcription, initiation	GO:2000144	11	11	0.55333113	0.27010188	1		
positive regulation by host of viral transcription	GO:0043923	11	11	0.55322625	0.27050036	1		
ventral spinal cord interneuron fate commitment	GO:0060579	12	11	0.55318761	0.27064724	1	GO:0060581|cell fate commitment involved in pattern specification, 	
cell fate commitment involved in pattern specification	GO:0060581	12	11	0.55318761	0.27064724	1	GO:0060579|ventral spinal cord interneuron fate commitment, 	
leukotriene biosynthetic process	GO:0019370	17	17	0.5426885	0.27113604	1		
mediator complex	GO:0016592	33	33	0.53064294	0.27120392	1		
positive regulation of B cell mediated immunity	GO:0002714	22	22	0.537407	0.2718035	1	GO:0002891|positive regulation of immunoglobulin mediated immune response, 	
positive regulation of immunoglobulin mediated immune response	GO:0002891	22	22	0.537407	0.2718035	1	GO:0002714|positive regulation of B cell mediated immunity, 	
negative regulation of fibroblast proliferation	GO:0048147	24	24	0.53566491	0.27265065	1		
cytokine biosynthetic process	GO:0042089	16	16	0.54355451	0.2731886	1		
negative regulation of epithelial cell migration	GO:0010633	33	32	0.53072185	0.27378017	1		
mitotic DNA integrity checkpoint	GO:0044774	77	77	0.51981699	0.27393421	1		
Golgi cisterna membrane	GO:0032580	54	54	0.52362303	0.27413981	1		
Golgi organization	GO:0007030	38	38	0.52799944	0.27518808	1		
regulation of ligase activity	GO:0051340	94	94	0.51778979	0.27566834	1		
cellular response to osmotic stress	GO:0071470	12	12	0.54961595	0.27585929	1		
mitotic recombination	GO:0006312	31	31	0.53080302	0.27641322	1		
positive regulation of tyrosine phosphorylation of Stat3 protein	GO:0042517	20	20	0.53830265	0.27658923	1		
nuclear transcription factor complex	GO:0044798	58	58	0.52250208	0.27673037	1		
positive regulation of ligase activity	GO:0051351	71	71	0.52034486	0.2767417	1		
lipoprotein biosynthetic process	GO:0042158	55	55	0.52310251	0.27675146	1		
maintenance of location in cell	GO:0051651	81	81	0.51901686	0.27712273	1		
phosphatidylcholine acyl-chain remodeling	GO:0036151	21	21	0.53721865	0.27745007	1		
mitotic cell cycle	GO:0000278	618	618	0.50693897	0.27886081	1		
male meiosis I	GO:0007141	15	15	0.54371432	0.27886908	1		
pathway-restricted SMAD protein phosphorylation	GO:0060389	11	11	0.55097974	0.27910599	1		
vesicle coating	GO:0006901	34	34	0.52898794	0.27930555	1		
positive regulation of interleukin-2 biosynthetic process	GO:0045086	10	10	0.55333313	0.27958545	1		
SWI/SNF superfamily-type complex	GO:0070603	55	55	0.52276933	0.27961876	1		
cellular response to thyroid hormone stimulus	GO:0097067	10	10	0.55322081	0.28001054	1		
positive regulation of interleukin-17 production	GO:0032740	10	10	0.55312974	0.28034635	1		
negative regulation of ligase activity	GO:0051352	71	71	0.5199346	0.28075522	1	GO:0051444|negative regulation of ubiquitin-protein transferase activity, 	
negative regulation of ubiquitin-protein transferase activity	GO:0051444	71	71	0.5199346	0.28075522	1	GO:0051352|negative regulation of ligase activity, 	
regulation of proteolysis involved in cellular protein catabolic process	GO:1903050	152	152	0.51362022	0.2812949	1		
localization within membrane	GO:0051668	32	32	0.52957057	0.28133439	1		
nucleotide-excision repair, DNA gap filling	GO:0006297	20	20	0.53736711	0.28145659	1		
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	GO:0051439	76	76	0.51917339	0.28174361	1		
apoptotic process involved in morphogenesis	GO:0060561	17	17	0.5404644	0.28174784	1		
mitotic cell cycle process	GO:1903047	545	545	0.50726115	0.28183352	1		
negative regulation of mRNA metabolic process	GO:1903312	12	12	0.54805493	0.28216171	1		
ISWI-type complex	GO:0031010	10	10	0.55254083	0.28252262	1		
diencephalon development	GO:0021536	62	61	0.52128602	0.2827021	1		
muscle cell fate commitment	GO:0042693	12	12	0.54790819	0.28275673	1		
regulation of mast cell activation involved in immune response	GO:0033006	16	16	0.54139462	0.28322591	1		
epithelial cell maturation	GO:0002070	13	13	0.54590254	0.28329559	1		
positive regulation of proteasomal protein catabolic process	GO:1901800	39	39	0.52651746	0.28333462	1		
proton-transporting two-sector ATPase complex, proton-transporting domain	GO:0033177	15	15	0.54268594	0.28352079	1		
ncRNA catabolic process	GO:0034661	11	11	0.54983165	0.28355476	1		
positive regulation of proteolysis involved in cellular protein catabolic process	GO:1903052	103	103	0.51627094	0.28426207	1	GO:1903364|positive regulation of cellular protein catabolic process, 	
positive regulation of cellular protein catabolic process	GO:1903364	103	103	0.51627094	0.28426207	1	GO:1903052|positive regulation of proteolysis involved in cellular protein catabolic process, 	
pantothenate metabolic process	GO:0015939	11	11	0.54953911	0.28469376	1		
muscle myosin complex	GO:0005859	17	17	0.53980878	0.28492496	1		
spermatid nucleus differentiation	GO:0007289	13	13	0.54549149	0.28503543	1		
cerebral cortex radial glia guided migration	GO:0021801	10	10	0.55183049	0.28515837	1	GO:0022030|telencephalon glial cell migration, 	
telencephalon glial cell migration	GO:0022030	10	10	0.55183049	0.28515837	1	GO:0021801|cerebral cortex radial glia guided migration, 	
monovalent inorganic cation homeostasis	GO:0055067	65	65	0.52035678	0.28521865	1		
thioester biosynthetic process	GO:0035384	22	21	0.53558989	0.28617472	1	GO:0071616|acyl-CoA biosynthetic process, 	
acyl-CoA biosynthetic process	GO:0071616	22	21	0.53558989	0.28617472	1	GO:0035384|thioester biosynthetic process, 	
stem cell development	GO:0048864	165	164	0.51278182	0.28631458	1		
PcG protein complex	GO:0031519	33	33	0.52825618	0.28715663	1		
positive regulation of interferon-gamma production	GO:0032729	41	41	0.52535532	0.28715762	1		
DNA dealkylation	GO:0035510	15	15	0.5418276	0.28743158	1		
positive regulation of calcium-mediated signaling	GO:0050850	19	19	0.5370998	0.28778929	1		
regulation of response to interferon-gamma	GO:0060330	23	23	0.53369578	0.28794824	1	GO:0060334|regulation of interferon-gamma-mediated signaling pathway, 	
regulation of interferon-gamma-mediated signaling pathway	GO:0060334	23	23	0.53369578	0.28794824	1	GO:0060330|regulation of response to interferon-gamma, 	
positive regulation of transforming growth factor beta receptor signaling pathway	GO:0030511	19	19	0.53700868	0.28825023	1	GO:1903846|positive regulation of cellular response to transforming growth factor beta stimulus, 	
positive regulation of cellular response to transforming growth factor beta stimulus	GO:1903846	19	19	0.53700868	0.28825023	1	GO:0030511|positive regulation of transforming growth factor beta receptor signaling pathway, 	
response to interleukin-4	GO:0070670	24	24	0.53287861	0.28857748	1		
cullin-RING ubiquitin ligase complex	GO:0031461	79	79	0.51814073	0.28869919	1		
positive regulation of G2/M transition of mitotic cell cycle	GO:0010971	11	11	0.54845725	0.28892474	1	GO:1902751|positive regulation of cell cycle G2/M phase transition, 	
positive regulation of cell cycle G2/M phase transition	GO:1902751	11	11	0.54845725	0.28892474	1	GO:0010971|positive regulation of G2/M transition of mitotic cell cycle, 	
positive regulation of cytokinesis	GO:0032467	22	22	0.53426973	0.28895897	1		
tRNA metabolic process	GO:0006399	107	107	0.5155632	0.28915839	1		
regulation of cellular protein catabolic process	GO:1903362	155	155	0.51293425	0.28938342	1		
renal water homeostasis	GO:0003091	13	13	0.54434241	0.28992589	1		
inorganic anion transport	GO:0015698	72	70	0.51913264	0.29002185	1		
negative regulation of peptidyl-tyrosine phosphorylation	GO:0050732	28	28	0.53020509	0.29006971	1		
purine-containing compound catabolic process	GO:0072523	43	43	0.52432679	0.29052204	1		
N-acetylglucosamine metabolic process	GO:0006044	15	15	0.54108668	0.29082778	1		
modification-dependent macromolecule catabolic process	GO:0043632	316	315	0.50903631	0.29108355	1		
lung epithelial cell differentiation	GO:0060487	16	16	0.53969405	0.29125121	1		
regulation of mast cell degranulation	GO:0043304	15	15	0.54090854	0.29164714	1		
cytoskeletal part	GO:0044430	977	975	0.50521674	0.29208011	1		
alcohol catabolic process	GO:0046164	44	44	0.52383481	0.29221204	1		
midbody	GO:0030496	86	86	0.51704894	0.2924446	1		
triglyceride metabolic process	GO:0006641	74	73	0.51847286	0.29269439	1		
Golgi cisterna	GO:0031985	66	66	0.51937345	0.29318362	1		
nuclear euchromatin	GO:0005719	11	11	0.54713253	0.29414547	1		
microvillus	GO:0005902	60	60	0.5201698	0.29452137	1		
formation of primary germ layer	GO:0001704	67	67	0.51896361	0.29577173	1		
embryonic axis specification	GO:0000578	29	29	0.52861092	0.29692563	1		
catecholamine transport	GO:0051937	10	10	0.54860057	0.29728859	1		
carbohydrate derivative transport	GO:1901264	34	34	0.5263717	0.29732273	1		
positive regulation of monooxygenase activity	GO:0032770	12	12	0.54426245	0.29771969	1		
regulation of interferon-gamma production	GO:0032649	70	70	0.51831481	0.29816636	1		
early endosome to late endosome transport	GO:0045022	14	14	0.54087396	0.29821341	1		
muscle cell cellular homeostasis	GO:0046716	16	15	0.53947933	0.29825926	1		
thyroid hormone metabolic process	GO:0042403	15	15	0.53914329	0.29982381	1		
ventral spinal cord interneuron differentiation	GO:0021514	14	13	0.54193447	0.30028949	1		
positive regulation of mitotic cell cycle	GO:0045931	83	83	0.51657931	0.3008703	1		
quinone metabolic process	GO:1901661	21	20	0.5336143	0.30137771	1		
positive regulation of alpha-beta T cell differentiation	GO:0046638	31	31	0.52698892	0.30151859	1		
DNA integrity checkpoint	GO:0031570	114	114	0.51403444	0.30248361	1		
lipoprotein transport	GO:0042953	12	12	0.54308853	0.30261691	1	GO:0044872|lipoprotein localization, 	
lipoprotein localization	GO:0044872	12	12	0.54308853	0.30261691	1	GO:0042953|lipoprotein transport, 	
segmentation	GO:0035282	77	77	0.51697321	0.3033748	1		
positive regulation of CD4-positive, alpha-beta T cell activation	GO:2000516	22	22	0.53155776	0.30418732	1		
connexon complex	GO:0005922	19	19	0.5339458	0.30422634	1		
purine nucleotide catabolic process	GO:0006195	39	39	0.52361682	0.30492432	1		
linoleic acid metabolic process	GO:0043651	11	11	0.54438925	0.30509301	1		
gastrulation	GO:0007369	109	109	0.51410413	0.30558674	1		
protein acylation	GO:0043543	104	104	0.51441603	0.30584544	1		
regulation of mRNA stability	GO:0043488	33	33	0.52551107	0.30602831	1		
proteolysis involved in cellular protein catabolic process	GO:0051603	334	333	0.50809656	0.3062147	1		
histone H3-K4 methylation	GO:0051568	17	17	0.53541417	0.30659009	1		
chemical homeostasis within a tissue	GO:0048875	10	10	0.54615992	0.30660813	1		
negative regulation of nitric oxide biosynthetic process	GO:0045019	10	10	0.54594439	0.30742561	1		
monocyte chemotaxis	GO:0002548	16	16	0.53633085	0.30742751	1		
T cell migration	GO:0072678	10	10	0.54591707	0.30754247	1		
foregut morphogenesis	GO:0007440	10	10	0.54580778	0.30796333	1		
pyrimidine nucleoside triphosphate metabolic process	GO:0009147	18	18	0.53399711	0.30875227	1		
negative regulation of cytokine biosynthetic process	GO:0042036	23	23	0.53005278	0.30892115	1		
regulation of ubiquitin-protein transferase activity	GO:0051438	90	90	0.5151994	0.3091989	1		
bone remodeling	GO:0046849	33	33	0.52500258	0.30958338	1		
positive regulation of transcription from RNA polymerase II promoter	GO:0045944	639	637	0.50579676	0.30962675	1		
aggresome	GO:0016235	19	19	0.53290193	0.30976847	1		
spliceosomal snRNP assembly	GO:0000387	26	26	0.52808592	0.31005665	1		
negative regulation of response to extracellular stimulus	GO:0032105	11	11	0.54315836	0.31006318	1	GO:0032108|negative regulation of response to nutrient levels, 	
negative regulation of response to nutrient levels	GO:0032108	11	11	0.54315836	0.31006318	1	GO:0032105|negative regulation of response to extracellular stimulus, 	
cellular response to hydrogen peroxide	GO:0070301	29	29	0.52655269	0.31033447	1		
cytoplasmic mRNA processing body	GO:0000932	43	43	0.5218071	0.31040579	1		
regulation of myeloid leukocyte differentiation	GO:0002761	78	78	0.5162013	0.31048106	1		
