Name	ID	NumGenes	ROC	Pvalue	CorrectedPvalue	Same as	GeneMembers
positive regulation of biomineral tissue development	GO:0070169	29	0.6320833	6.71E-003	0.04470036		
positive regulation of osteoblast differentiation	GO:0045669	50	0.60090804	6.73E-003	0.04480241		
regulation of vascular permeability	GO:0043114	19	0.66245068	6.75E-003	0.04486109		
cell-cell adherens junction	GO:0005913	38	0.61546747	6.76E-003	0.04488891		
regulation of synaptic transmission, cholinergic	GO:0032222	11	0.71188939	6.78E-003	0.04496201		
ear development	GO:0043583	168	0.55524936	6.80E-003	0.04496701		
purine ribonucleotide biosynthetic process	GO:0009152	88	0.57614704	6.80E-003	0.0449229		
alcohol metabolic process	GO:0006066	281	0.54285895	6.81E-003	0.04491285		
anatomical structure formation involved in morphogenesis	GO:0048646	673	0.52799413	6.87E-003	0.04530833		
positive regulation of bone mineralization	GO:0030501	27	0.63632619	6.88E-003	0.04527784		
regulation of dopamine secretion	GO:0014059	14	0.68808613	6.89E-003	0.0452572		
dopamine receptor signaling pathway	GO:0007212	18	0.66610311	6.96E-003	0.04567616		
response to corticosteroid	GO:0031960	113	0.56697722	6.99E-003	0.04581483		
positive regulation of nucleotide metabolic process	GO:0045981	83	0.57802671	7.02E-003	0.04595941	GO:1900544|positive regulation of purine nucleotide metabolic process, 	
positive regulation of purine nucleotide metabolic process	GO:1900544	83	0.57802671	7.02E-003	0.04595941	GO:0045981|positive regulation of nucleotide metabolic process, 	
cilium movement	GO:0003341	15	0.68125835	7.05E-003	0.04609569		
synapse assembly	GO:0007416	48	0.60224852	7.07E-003	0.04613175		
cellular response to insulin stimulus	GO:0032869	163	0.55565366	7.16E-003	0.04668376		
positive regulation of heart rate	GO:0010460	17	0.67007696	7.18E-003	0.0467189		
carbohydrate biosynthetic process	GO:0016051	100	0.57087388	7.19E-003	0.04675064		
termination of signal transduction	GO:0023021	38	0.6144528	7.19E-003	0.04670429		
regulation of lyase activity	GO:0051339	63	0.58918299	7.20E-003	0.04665823		
cellular response to hormone stimulus	GO:0032870	334	0.53899623	7.27E-003	0.04708528		
neural tube closure	GO:0001843	59	0.59196221	7.27E-003	0.04702319	GO:0060606|tube closure, 	
tube closure	GO:0060606	59	0.59196221	7.27E-003	0.04702319	GO:0001843|neural tube closure, 	
negative regulation of smooth muscle contraction	GO:0045986	12	0.70113547	7.29E-003	0.04707059		
melanocyte differentiation	GO:0030318	22	0.64935736	7.35E-003	0.04740346		
regulation of protein export from nucleus	GO:0046825	23	0.64609256	7.36E-003	0.04742066		
phosphatidylinositol 3-kinase signaling	GO:0014065	18	0.6642201	7.54E-003	0.04849264		
negative regulation of locomotion	GO:0040013	156	0.55642616	7.56E-003	0.04853465		
organ morphogenesis	GO:0009887	690	0.5272441	7.62E-003	0.04889711		
ventricular septum morphogenesis	GO:0060412	26	0.63663605	7.70E-003	0.04935076		
positive regulation of lipid transport	GO:0032370	33	0.62140373	7.74E-003	0.04950516		
positive regulation of cell-matrix adhesion	GO:0001954	29	0.62937113	7.75E-003	0.04949573		
extrinsic component of cytoplasmic side of plasma membrane	GO:0031234	44	0.60530427	7.75E-003	0.04945577		
regulation of polysaccharide metabolic process	GO:0032881	34	0.61958555	7.76E-003	0.04942877		
glycosphingolipid metabolic process	GO:0006687	55	0.59429618	7.76E-003	0.0493939		
regulation of focal adhesion assembly	GO:0051893	26	0.63641633	7.79E-003	0.04950025	GO:0090109|regulation of cell-substrate junction assembly, GO:1903391|regulation of adherens junction organization, 	
regulation of cell-substrate junction assembly	GO:0090109	26	0.63641633	7.79E-003	0.04950025	GO:1903391|regulation of adherens junction organization, GO:0051893|regulation of focal adhesion assembly, 	
regulation of adherens junction organization	GO:1903391	26	0.63641633	7.79E-003	0.04950025	GO:0090109|regulation of cell-substrate junction assembly, GO:0051893|regulation of focal adhesion assembly, 	
embryonic epithelial tube formation	GO:0001838	90	0.57379287	7.80E-003	0.0494795		
adult walking behavior	GO:0007628	33	0.62125081	7.80E-003	0.04946994		
negative regulation of insulin receptor signaling pathway	GO:0046627	22	0.64800551	7.82E-003	0.04953561		
negative regulation of cellular response to insulin stimulus	GO:1900077	22	0.64800551	7.82E-003	0.04947061		
synaptic transmission, dopaminergic	GO:0001963	10	0.71748528	7.84E-003	0.04949737		
regulation of adenylate cyclase activity	GO:0045761	52	0.59669581	7.90E-003	0.04979414		
neural tube formation	GO:0001841	74	0.58115356	7.92E-003	0.04984876		
cholesterol biosynthetic process	GO:0006695	26	0.63605638	7.93E-003	0.04987002		
response to amphetamine	GO:0001975	24	0.64152539	7.93E-003	0.04980924		
regulation of smooth muscle cell proliferation	GO:0048660	67	0.58523621	7.94E-003	0.04978052		
negative regulation of blood pressure	GO:0045776	34	0.619075	7.98E-003	0.05001442		
positive regulation of secretion by cell	GO:1903532	196	0.54987719	8.10E-003	0.05067768		
regulation of glycogen metabolic process	GO:0070873	28	0.63066006	8.14E-003	0.05088172		
ion homeostasis	GO:0050801	416	0.53443553	8.15E-003	0.05087647		
endochondral ossification	GO:0001958	24	0.64092534	8.16E-003	0.05086264	GO:0036075|replacement ossification, 	
replacement ossification	GO:0036075	24	0.64092534	8.16E-003	0.05086264	GO:0001958|endochondral ossification, 	
positive regulation of cell death	GO:0010942	460	0.53276935	8.19E-003	0.05097722		
positive regulation of cGMP metabolic process	GO:0030825	16	0.67177346	8.23E-003	0.05116034		
response to oxidative stress	GO:0006979	221	0.5468906	8.23E-003	0.05111363		
negative regulation of dephosphorylation	GO:0035305	49	0.59887874	8.27E-003	0.05130784		
neuromuscular junction development	GO:0007528	37	0.61355986	8.29E-003	0.05135006		
cytoplasmic side of plasma membrane	GO:0009898	90	0.57309431	8.30E-003	0.05132947		
regulation of endothelial cell migration	GO:0010594	76	0.57948796	8.31E-003	0.05134957		
positive regulation of peptidase activity	GO:0010952	99	0.5696715	8.33E-003	0.05139041		
cellular cation homeostasis	GO:0030003	321	0.53894042	8.35E-003	0.051467		
synaptic vesicle transport	GO:0048489	52	0.59583429	8.38E-003	0.0515638	GO:0097480|establishment of synaptic vesicle localization, 	
establishment of synaptic vesicle localization	GO:0097480	52	0.59583429	8.38E-003	0.0515638	GO:0048489|synaptic vesicle transport, 	
brush border membrane	GO:0031526	39	0.61044885	8.39E-003	0.05156129		
glutamine family amino acid metabolic process	GO:0009064	54	0.59403444	8.40E-003	0.0515395		
regulation of cyclase activity	GO:0031279	60	0.58922619	8.42E-003	0.05162464		
negative regulation of developmental growth	GO:0048640	56	0.59205697	8.58E-003	0.05253025		
regulation of microtubule polymerization	GO:0031113	17	0.66563768	8.61E-003	0.05262948		
purine ribonucleoside metabolic process	GO:0046128	198	0.54916372	8.61E-003	0.05258127		
ruffle	GO:0001726	118	0.5635197	8.62E-003	0.05256555		
cardiac muscle cell action potential	GO:0086001	27	0.63181417	8.65E-003	0.05270321		
cellular ion homeostasis	GO:0006873	333	0.53803463	8.66E-003	0.05268326		
positive regulation of cytoskeleton organization	GO:0051495	108	0.56631797	8.67E-003	0.05265866		
negative regulation of cytoskeleton organization	GO:0051494	83	0.57551171	8.73E-003	0.05295166		
regulation of tube size	GO:0035150	63	0.58652911	8.79E-003	0.05324387		
basolateral plasma membrane	GO:0016323	164	0.55379434	8.79E-003	0.05318801		
nucleobase-containing small molecule interconversion	GO:0015949	16	0.67010705	8.79E-003	0.05312744		
purine nucleotide biosynthetic process	GO:0006164	93	0.5711821	8.87E-003	0.05352875		
positive regulation of cysteine-type endopeptidase activity	GO:2001056	93	0.57116963	8.88E-003	0.05352185		
synaptic vesicle exocytosis	GO:0016079	23	0.64190271	8.96E-003	0.05395718		
lipopolysaccharide-mediated signaling pathway	GO:0031663	25	0.63581308	9.12E-003	0.05487129		
response to amine	GO:0014075	31	0.62200608	9.19E-003	0.05518772		
cell migration	GO:0016477	536	0.5298339	9.30E-003	0.05581225		
long term synaptic depression	GO:0060292	12	0.69411723	9.31E-003	0.05579536		
positive regulation of excitatory postsynaptic membrane potential	GO:2000463	12	0.69404639	9.33E-003	0.05586148		
positive regulation of immune system process	GO:0002684	580	0.5286814	9.38E-003	0.05607376		
response to insulin	GO:0032868	199	0.54837833	9.39E-003	0.05608143		
reactive oxygen species biosynthetic process	GO:1903409	18	0.6587803	9.46E-003	0.05637861		
regulation of leukocyte migration	GO:0002685	92	0.57070391	9.58E-003	0.05702106		
inorganic ion homeostasis	GO:0098771	390	0.53465196	9.58E-003	0.05700338		
dopamine metabolic process	GO:0042417	21	0.6468524	9.59E-003	0.05699577		
columnar/cuboidal epithelial cell differentiation	GO:0002065	89	0.57185301	9.60E-003	0.05693988		
single-organism catabolic process	GO:0044712	634	0.52736658	9.63E-003	0.05705022		
negative regulation of wound healing	GO:0061045	40	0.60668755	9.69E-003	0.05732192		
cell motility	GO:0048870	585	0.52840525	9.71E-003	0.05741962	GO:0051674|localization of cell, 	
localization of cell	GO:0051674	585	0.52840525	9.71E-003	0.05741962	GO:0048870|cell motility, 	
negative regulation of lipid catabolic process	GO:0050995	15	0.67286327	9.74E-003	0.05748878		
regulation of coagulation	GO:0050818	62	0.58567769	9.85E-003	0.05809403		
regulation of skeletal muscle tissue development	GO:0048641	31	0.62054613	9.92E-003	0.05843894		
pigment cell differentiation	GO:0050931	25	0.63395236	9.97E-003	0.05864747		
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043280	87	0.5721651	0.01002251	0.05888836		
regulation of cardiac muscle cell contraction	GO:0086004	32	0.6184637	0.01003152	0.05886952		
epithelial tube formation	GO:0072175	91	0.57046075	0.01011892	0.05931019		
regulation of synapse assembly	GO:0051963	34	0.61472859	0.01016415	0.0595029		
positive regulation of cyclic nucleotide metabolic process	GO:0030801	73	0.57852417	0.01020077	0.05964478		
response to isoquinoline alkaloid	GO:0014072	19	0.65270895	0.01023874	0.05979425		
negative regulation of amine transport	GO:0051953	21	0.64535092	0.01024477	0.05975705		
cytoplasmic side of membrane	GO:0098562	94	0.56909148	0.01033964	0.06023745		
regulation of cytoplasmic transport	GO:1903649	225	0.54480807	0.01038119	0.06040648		
blood vessel development	GO:0001568	370	0.53502266	0.01051996	0.06114016		
response to ischemia	GO:0002931	14	0.67665634	0.01052638	0.06110371		
inner ear receptor cell development	GO:0060119	21	0.64472025	0.01052926	0.06104688		
response to glucagon	GO:0033762	39	0.60659225	0.01053411	0.06100164		
regulation of developmental growth	GO:0048638	180	0.54987186	0.01058126	0.06120109		
positive regulation of cell development	GO:0010720	279	0.54016175	0.01061081	0.0612984		
lipid transport	GO:0006869	154	0.55384555	0.0106163	0.06125666		
regulation of actin filament-based movement	GO:1903115	34	0.61386575	0.01065311	0.06139554		
muscle organ development	GO:0007517	226	0.54451959	0.01065555	0.06133627		
striated muscle tissue development	GO:0014706	210	0.54610233	0.0107393	0.06174455		
negative regulation of protein complex assembly	GO:0031333	67	0.58119843	0.01079176	0.0619722		
cellular response to peptide hormone stimulus	GO:0071375	219	0.54504675	0.01090039	0.06252154		
ribonucleoside metabolic process	GO:0009119	218	0.54513468	0.01092068	0.06256341		
stereocilium	GO:0032420	18	0.65502777	0.01100864	0.06299245		
positive regulation of interferon-beta production	GO:0032728	20	0.64714477	0.0110285	0.06303121		
positive regulation of cation transmembrane transport	GO:1904064	31	0.61851162	0.01103224	0.06297787		
cytoplasmic vesicle	GO:0031410	866	0.52303697	0.01113245	0.06347474		
regulation of blood coagulation	GO:0030193	57	0.58754091	0.01114868	0.06349213	GO:1900046|regulation of hemostasis, 	
regulation of hemostasis	GO:1900046	57	0.58754091	0.01114868	0.06349213	GO:0030193|regulation of blood coagulation, 	
cerebellar Purkinje cell layer development	GO:0021680	22	0.64012505	0.01115768	0.06346835		
positive regulation of cell proliferation	GO:0008284	596	0.52752011	0.01116148	0.06341513		
establishment of protein localization to organelle	GO:0072594	247	0.54224851	0.01122255	0.06368699		
ribonucleoside monophosphate metabolic process	GO:0009161	155	0.55314974	0.01126378	0.06384575		
vasoconstriction	GO:0042310	25	0.6313527	0.011264	0.06377197		
negative regulation of cell adhesion	GO:0007162	148	0.55437321	0.01127253	0.06374538		
synaptic vesicle localization	GO:0097479	53	0.59053457	0.01130839	0.06387318		
morphogenesis of embryonic epithelium	GO:0016331	109	0.56321769	0.01134226	0.06398946		
positive regulation of insulin secretion involved in cellular response to glucose stimulus	GO:0035774	15	0.66873963	0.01134951	0.0639555		
epithelial cilium movement	GO:0003351	14	0.67449618	0.01137288	0.06401233		
nephron development	GO:0072006	100	0.56580245	0.0115291	0.06481587		
metanephric nephron tubule development	GO:0072234	12	0.68772138	0.01155144	0.0648658		
fatty acid transport	GO:0015908	36	0.60922604	0.01155795	0.0648268		
cell-substrate junction	GO:0030055	120	0.56007477	0.0115646	0.06478863		
regulation of N-methyl-D-aspartate selective glutamate receptor activity	GO:2000310	10	0.70479024	0.01170146	0.06547925		
isoprenoid metabolic process	GO:0006720	91	0.56875775	0.01173213	0.06557469		
cellular response to oxidative stress	GO:0034599	102	0.56488491	0.01181935	0.06598567		
positive regulation of dendrite development	GO:1900006	33	0.61356083	0.01184754	0.06606649		
cartilage development	GO:0051216	139	0.55561276	0.01186009	0.06606001		
neural retina development	GO:0003407	33	0.61338396	0.01195858	0.0665317		
protein homotetramerization	GO:0051289	48	0.59417027	0.01198076	0.06657823		
lamellipodium assembly	GO:0030032	22	0.63848185	0.01198846	0.06654424		
N-methyl-D-aspartate selective glutamate receptor complex	GO:0017146	10	0.70313278	0.01230726	0.06823521		
cell-substrate adherens junction	GO:0005924	114	0.56096296	0.0123224	0.06824059		
superoxide metabolic process	GO:0006801	28	0.62235068	0.0123303	0.06820597		
regulation of immune system process	GO:0002682	919	0.52201238	0.01234638	0.06821657		
regulation of morphogenesis of a branching structure	GO:0060688	44	0.59781286	0.01234774	0.06814595		
developmental cell growth	GO:0048588	35	0.60951425	0.01236404	0.06815784		
regulation of cofactor metabolic process	GO:0051193	33	0.61267558	0.01241174	0.06834258	GO:0051196|regulation of coenzyme metabolic process, 	
regulation of coenzyme metabolic process	GO:0051196	33	0.61267558	0.01241174	0.06834258	GO:0051193|regulation of cofactor metabolic process, 	
regulation of intracellular transport	GO:0032386	302	0.5375804	0.01249892	0.06874408		
positive regulation of axonogenesis	GO:0050772	39	0.60326197	0.01275071	0.07004891		
negative regulation of cyclic nucleotide metabolic process	GO:0030800	32	0.6138709	0.01275819	0.07001021		
negative regulation of cellular component movement	GO:0051271	146	0.55359343	0.01276665	0.06997691		
ribonucleoside biosynthetic process	GO:0042455	86	0.56966141	0.01280903	0.07012943		
positive regulation of receptor activity	GO:2000273	20	0.6435332	0.01281796	0.07009865		
response to peptide	GO:1901652	318	0.53646052	0.0128604	0.07025105		
regulation of osteoblast differentiation	GO:0045667	87	0.56921372	0.01286093	0.07017437		
acid secretion	GO:0046717	44	0.59707658	0.01290563	0.07033858		
regulation of platelet activation	GO:0010543	23	0.63375549	0.01293456	0.07041661		
costamere	GO:0043034	17	0.65505488	0.01304274	0.07092544		
phagocytosis, engulfment	GO:0006911	11	0.69189711	0.01310222	0.07116855		
negative regulation of blood circulation	GO:1903523	24	0.63068021	0.01310381	0.07109705		
urogenital system development	GO:0001655	238	0.54185048	0.01319989	0.07153778		
nucleotide biosynthetic process	GO:0009165	150	0.55256894	0.01320668	0.07149412		
regulation of cAMP metabolic process	GO:0030814	92	0.56696167	0.01325644	0.07168298		
cell-substrate adhesion	GO:0031589	117	0.5593804	0.01331141	0.07189954		
positive regulation of striated muscle cell differentiation	GO:0051155	33	0.61126157	0.01336238	0.072094		
regulation of catecholamine secretion	GO:0050433	28	0.62066406	0.01337552	0.07208417		
positive regulation of insulin secretion	GO:0032024	42	0.59856135	0.0135037	0.07269365		
positive regulation of cAMP biosynthetic process	GO:0030819	52	0.58866826	0.01350994	0.0726461		
regulation of polysaccharide biosynthetic process	GO:0032885	30	0.61641035	0.01351174	0.07257476		
regulation of cysteine-type endopeptidase activity	GO:2000116	152	0.55196679	0.01358423	0.07288287		
regulation of cell size	GO:0008361	70	0.57636037	0.01360909	0.07293505		
startle response	GO:0001964	19	0.6456816	0.01362769	0.07295354		
pallium development	GO:0021543	95	0.56556367	0.01364907	0.0729869		
sulfur amino acid biosynthetic process	GO:0000097	18	0.64930788	0.01379427	0.07368157		
interleukin-1 beta production	GO:0032611	10	0.69922591	0.01383841	0.07383552		
regulation of BMP signaling pathway	GO:0030510	50	0.5900073	0.01385404	0.07383713		
positive regulation of endopeptidase activity	GO:0010950	96	0.56502549	0.01388412	0.07391568		
monocarboxylic acid metabolic process	GO:0032787	374	0.53322492	0.01389067	0.07386894		
negative regulation of cell growth	GO:0030308	127	0.55657722	0.01389981	0.07383602		
purine nucleoside biosynthetic process	GO:0042451	75	0.57341013	0.01400191	0.07429649	GO:0046129|purine ribonucleoside biosynthetic process, 	
purine ribonucleoside biosynthetic process	GO:0046129	75	0.57341013	0.01400191	0.07429649	GO:0042451|purine nucleoside biosynthetic process, 	
muscle hypertrophy in response to stress	GO:0003299	11	0.68954573	0.01409625	0.07471476	GO:0014887|cardiac muscle adaptation, GO:0014898|cardiac muscle hypertrophy in response to stress, 	
cardiac muscle adaptation	GO:0014887	11	0.68954573	0.01409625	0.07471476	GO:0003299|muscle hypertrophy in response to stress, GO:0014898|cardiac muscle hypertrophy in response to stress, 	
cardiac muscle hypertrophy in response to stress	GO:0014898	11	0.68954573	0.01409625	0.07471476	GO:0014887|cardiac muscle adaptation, GO:0003299|muscle hypertrophy in response to stress, 	
peptidyl-cysteine modification	GO:0018198	13	0.67444554	0.0141767	0.07505861		
lipid homeostasis	GO:0055088	75	0.57321955	0.01420722	0.07513764		
positive regulation of blood vessel endothelial cell migration	GO:0043536	19	0.64456899	0.01424315	0.07524504		
coenzyme biosynthetic process	GO:0009108	76	0.57259902	0.01435977	0.07577807		
regulation of glycogen biosynthetic process	GO:0005979	24	0.62854965	0.01440466	0.0759318	GO:0010962|regulation of glucan biosynthetic process, 	
regulation of glucan biosynthetic process	GO:0010962	24	0.62854965	0.01440466	0.0759318	GO:0005979|regulation of glycogen biosynthetic process, 	
inner ear receptor cell differentiation	GO:0060113	39	0.60083931	0.01460581	0.07690796		
filopodium	GO:0030175	59	0.5821459	0.01461435	0.07686893		
regulation of interferon-beta production	GO:0032648	27	0.62093648	0.01463221	0.07687894		
regulation of cellular protein localization	GO:1903827	241	0.54077032	0.01476382	0.07748591		
monocyte differentiation	GO:0030224	13	0.67320771	0.01477069	0.07743764		
regulation of potassium ion transmembrane transport	GO:1901379	19	0.64352992	0.01483903	0.07771133		
positive regulation of interferon-alpha production	GO:0032727	11	0.68787327	0.01484096	0.07763707		
regulation of phosphatidylinositol 3-kinase signaling	GO:0014066	58	0.5826107	0.01484431	0.0775704		
regulation of axon extension involved in axon guidance	GO:0048841	13	0.67300219	0.01487131	0.07762726		
arginine metabolic process	GO:0006525	14	0.66674908	0.0148991	0.07768816		
ganglioside metabolic process	GO:0001573	13	0.67293679	0.01490344	0.0776268		
negative regulation of ion transmembrane transport	GO:0034766	27	0.62041877	0.01498819	0.0779839		
negative regulation of Notch signaling pathway	GO:0045746	19	0.64325336	0.01500019	0.07796213		
central nervous system neuron differentiation	GO:0021953	138	0.55354927	0.01500593	0.07790794		
purine nucleoside monophosphate metabolic process	GO:0009126	145	0.55223665	0.01503029	0.07795042	GO:0009167|purine ribonucleoside monophosphate metabolic process, 	
purine ribonucleoside monophosphate metabolic process	GO:0009167	145	0.55223665	0.01503029	0.07795042	GO:0009126|purine nucleoside monophosphate metabolic process, 	
positive regulation of cGMP biosynthetic process	GO:0030828	15	0.66090125	0.01504347	0.07793487		
intrinsic component of Golgi membrane	GO:0031228	42	0.59654451	0.01517066	0.07850937		
dendrite morphogenesis	GO:0048813	33	0.60877716	0.01518179	0.0784827		
regulation of signal transduction by p53 class mediator	GO:1901796	30	0.61397585	0.01522496	0.07862151		
cerebral cortex development	GO:0021987	65	0.57761377	0.01525943	0.07871512		
sarcoplasmic reticulum membrane	GO:0033017	33	0.60862332	0.01530183	0.07884944		
reactive oxygen species metabolic process	GO:0072593	84	0.56821769	0.01537612	0.07914758		
mast cell activation	GO:0045576	16	0.65518145	0.01541736	0.07927519		
morphogenesis of an epithelium	GO:0002009	336	0.53435053	0.01543374	0.0792748		
negative regulation of response to external stimulus	GO:0032102	173	0.5476035	0.01548391	0.07944779		
auditory receptor cell development	GO:0060117	10	0.69532512	0.015525	0.0795739		
carbohydrate derivative biosynthetic process	GO:1901137	458	0.52945248	0.01566555	0.08020896		
regulation of interleukin-10 secretion	GO:2001179	10	0.69497298	0.01568517	0.08022416		
lens development in camera-type eye	GO:0002088	51	0.58714391	0.01570352	0.08023286		
lipid biosynthetic process	GO:0008610	399	0.53142993	0.0158468	0.08087913		
canonical Wnt signaling pathway	GO:0060070	73	0.57271177	0.01588727	0.08099987		
collagen trimer	GO:0005581	68	0.5752972	0.01592009	0.0810814		
response to monoamine	GO:0071867	18	0.64544062	0.01599846	0.08139448	GO:0071869|response to catecholamine, 	
response to catecholamine	GO:0071869	18	0.64544062	0.01599846	0.08139448	GO:0071867|response to monoamine, 	
cytosolic part	GO:0044445	133	0.55387797	0.01603025	0.08147019		
regulation of synaptic transmission, glutamatergic	GO:0051966	29	0.61474132	0.01609382	0.08170708		
cellular response to carbohydrate stimulus	GO:0071322	42	0.59548214	0.0161162	0.08173456		
positive regulation of protein oligomerization	GO:0032461	15	0.65869873	0.01624729	0.08231275		
negative regulation of adenylate cyclase activity	GO:0007194	21	0.63435168	0.01627128	0.08234774		
nucleoside phosphate biosynthetic process	GO:1901293	153	0.5501074	0.01629961	0.08240452		
negative regulation of signal transduction	GO:0009968	709	0.52368049	0.01631117	0.08237653		
positive regulation of protein tyrosine kinase activity	GO:0061098	25	0.62311619	0.01636315	0.08255254		
regulation of glucose import	GO:0046324	38	0.60004097	0.01637502	0.082526		
cellular respiration	GO:0045333	119	0.55669162	0.01640093	0.08257021		
endocytic vesicle membrane	GO:0030666	108	0.559465	0.01643574	0.0826591		
retina layer formation	GO:0010842	11	0.68432964	0.01652758	0.08303427		
regulation of blood pressure	GO:0008217	134	0.55336344	0.01654067	0.0830135		
muscle organ morphogenesis	GO:0048644	60	0.5795932	0.0165915	0.08318192		
fibroblast growth factor receptor signaling pathway	GO:0008543	136	0.55294163	0.01659284	0.08310219		
neuronal postsynaptic density	GO:0097481	10	0.69277518	0.01671608	0.08363246		
positive regulation of behavior	GO:0048520	93	0.5638039	0.01677685	0.08384945		
zymogen activation	GO:0031638	83	0.56750346	0.01679543	0.08385532		
tube development	GO:0035295	447	0.52941108	0.01681121	0.08384721		
regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0043281	144	0.55133074	0.01681952	0.08380192		
activation of immune response	GO:0002253	283	0.53675834	0.01685301	0.08388203		
pyruvate metabolic process	GO:0006090	61	0.5787065	0.01686097	0.08383502		
protein kinase C-activating G-protein coupled receptor signaling pathway	GO:0007205	32	0.60826076	0.01692788	0.08408096		
Wnt signaling pathway	GO:0016055	194	0.54423156	0.01694031	0.08405602		
cell cortex	GO:0005938	177	0.54624285	0.01701781	0.08435373		
hexose metabolic process	GO:0019318	135	0.55280395	0.01714982	0.08492071		
positive regulation of vascular endothelial growth factor receptor signaling pathway	GO:0030949	13	0.66855767	0.0171904	0.08503422		
cellular amino acid metabolic process	GO:0006520	296	0.53577762	0.01730042	0.08549067		
cellular response to antibiotic	GO:0071236	10	0.69153664	0.01732129	0.0855061		
regulation of heart rate by cardiac conduction	GO:0086091	18	0.64325052	0.01737329	0.08567506		
negative regulation of phosphatase activity	GO:0010923	45	0.5907804	0.01758183	0.08661477		
positive regulation of lipid biosynthetic process	GO:0046889	37	0.60002416	0.01758429	0.08653842		
lysosome localization	GO:0032418	16	0.65128682	0.01771613	0.0870983		
response to morphine	GO:0043278	18	0.64241025	0.01792645	0.08804243		
nucleoside metabolic process	GO:0009116	234	0.53984628	0.01802438	0.08843327		
cilium or flagellum-dependent cell motility	GO:0001539	16	0.65063772	0.01812582	0.08884046		
cell migration involved in sprouting angiogenesis	GO:0002042	13	0.66690645	0.01812725	0.08875719		
microtubule-based movement	GO:0007018	124	0.55446001	0.01818344	0.08894194		
myeloid leukocyte mediated immunity	GO:0002444	26	0.61828296	0.01826189	0.08923507		
regulation of ossification	GO:0030278	142	0.55086508	0.01828384	0.0892518		
response to glucocorticoid	GO:0051384	106	0.55873081	0.01840657	0.08975995		
female sex differentiation	GO:0046660	83	0.5662669	0.01848825	0.09006711		
neuropeptide signaling pathway	GO:0007218	89	0.56395213	0.01856831	0.09036577		
lytic vacuole	GO:0000323	373	0.53149377	0.01862618	0.09055595	GO:0005764|lysosome, 	
lysosome	GO:0005764	373	0.53149377	0.01862618	0.09055595	GO:0000323|lytic vacuole, 	
adenylate cyclase-activating G-protein coupled receptor signaling pathway	GO:0007189	44	0.59077635	0.01863448	0.09050495		
negative regulation of coagulation	GO:0050819	38	0.59758912	0.0186635	0.09055461		
sensory organ morphogenesis	GO:0090596	199	0.54286572	0.01867222	0.09050578		
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator	GO:1902254	10	0.6888926	0.01867229	0.09041519		
cardiac chamber development	GO:0003205	104	0.55901745	0.01884269	0.09114866		
negative regulation of BMP signaling pathway	GO:0030514	27	0.61521908	0.01898975	0.09176792		
catechol-containing compound biosynthetic process	GO:0009713	17	0.64481864	0.01904254	0.0919308	GO:0042423|catecholamine biosynthetic process, 	
catecholamine biosynthetic process	GO:0042423	17	0.64481864	0.01904254	0.0919308	GO:0009713|catechol-containing compound biosynthetic process, 	
regulation of binding	GO:0051098	168	0.54638354	0.01913686	0.09229367		
positive regulation of protein acetylation	GO:1901985	17	0.64439169	0.01933478	0.09315499	GO:2000758|positive regulation of peptidyl-lysine acetylation, 	
positive regulation of peptidyl-lysine acetylation	GO:2000758	17	0.64439169	0.01933478	0.09315499	GO:1901985|positive regulation of protein acetylation, 	
positive regulation of protein kinase B signaling	GO:0051897	62	0.575926	0.01936597	0.09321205		
metanephric nephron morphogenesis	GO:0072273	13	0.66467835	0.01945634	0.09355355		
insulin receptor signaling pathway	GO:0008286	126	0.55331145	0.01946181	0.09348655		
positive regulation of B cell proliferation	GO:0030890	30	0.60881811	0.019474	0.09345194		
cellular response to alkaloid	GO:0071312	21	0.62982844	0.01950106	0.09348868		
regulation of ion homeostasis	GO:2000021	129	0.55264463	0.01955162	0.09363788		
negative regulation of lyase activity	GO:0051350	23	0.62401528	0.01957453	0.0936545		
protein dephosphorylation	GO:0006470	119	0.55477952	0.01957971	0.09358637		
amide transport	GO:0042886	69	0.57181781	0.01959547	0.09356888		
peptidyl-amino acid modification	GO:0018193	480	0.52757601	0.01959875	0.09349188		
positive regulation of vascular endothelial growth factor production	GO:0010575	18	0.63999237	0.01959983	0.09340453		
exocrine system development	GO:0035272	38	0.59660406	0.01965529	0.09357628		
tube formation	GO:0035148	102	0.55901717	0.01978037	0.09407881		
dicarboxylic acid metabolic process	GO:0043648	68	0.57216796	0.01983243	0.09423337		
kidney epithelium development	GO:0072073	108	0.55727361	0.0199385	0.09464405		
regulation of response to external stimulus	GO:0032101	474	0.52764778	0.01994424	0.09457808		
neural tube development	GO:0021915	119	0.55455046	0.0199935	0.09471845		
cilium	GO:0005929	275	0.53597635	0.02021605	0.09567871		
substantia nigra development	GO:0021762	36	0.59858957	0.02030659	0.09601289		
negative regulation of neuron differentiation	GO:0045665	121	0.55388268	0.02039822	0.0963516		
cardiac muscle cell action potential involved in contraction	GO:0086002	24	0.62037051	0.02045834	0.09654091		
outflow tract morphogenesis	GO:0003151	42	0.59110666	0.0205594	0.0969229		
immune response-regulating signaling pathway	GO:0002764	338	0.53239849	0.02057455	0.09689949		
